epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,957.582,0.86258,3.44621,1.17747,0.17872,0.49916,0.23966,0.18554,0.81192,3.46239,1.15353,0.00017454,0.00017454,0.00017454
2,1872.62,0.77652,2.5395,1.09806,0.31915,0.45565,0.34157,0.27112,0.77766,2.75956,1.10715,0.000338327,0.000338327,0.000338327
3,2773.4,0.77234,2.21398,1.08417,0.4015,0.49563,0.45838,0.37131,0.79801,2.36807,1.09974,0.000490543,0.000490543,0.000490543
4,3681.58,0.73682,1.88992,1.06292,0.52924,0.64736,0.60496,0.4904,0.74049,1.8321,1.06911,0.000473926,0.000473926,0.000473926
5,4581.97,0.71068,1.60577,1.05001,0.6844,0.66563,0.71742,0.59578,0.71087,1.5435,1.03897,0.000456568,0.000456568,0.000456568
6,5478.98,0.70776,1.45156,1.04498,0.73907,0.68008,0.76211,0.63949,0.69114,1.30404,1.02034,0.00043921,0.00043921,0.00043921
7,6379.34,0.67793,1.28619,1.0289,0.80695,0.74705,0.83922,0.70498,0.68204,1.05426,1.00554,0.000421852,0.000421852,0.000421852
8,7282.3,0.67532,1.20237,1.02702,0.87262,0.75599,0.84006,0.70576,0.67714,0.92899,1.00009,0.000404494,0.000404494,0.000404494
9,8185.06,0.65998,1.09431,1.01775,0.88547,0.762,0.86405,0.72182,0.68203,0.85699,1.0258,0.000387136,0.000387136,0.000387136
10,9090.66,0.66386,1.04479,1.01183,0.90664,0.78533,0.88018,0.73712,0.66198,0.79494,1.00708,0.000369778,0.000369778,0.000369778
11,9976.77,0.63853,1.00004,1.00875,0.91002,0.80283,0.89213,0.75031,0.64968,0.72436,0.99454,0.00035242,0.00035242,0.00035242
12,10856.1,0.6322,0.95357,0.99943,0.93981,0.81831,0.91004,0.76461,0.63277,0.65108,0.99058,0.000335062,0.000335062,0.000335062
13,11737.5,0.6261,0.91581,0.99349,0.9411,0.80913,0.91367,0.75827,0.67855,0.69023,1.01829,0.000317704,0.000317704,0.000317704
14,12618.1,0.62531,0.87997,1.00133,0.95203,0.81947,0.92505,0.76937,0.6506,0.62028,0.98534,0.000300346,0.000300346,0.000300346
15,13507.2,0.60738,0.83223,0.98962,0.92945,0.81552,0.91661,0.77531,0.62369,0.59772,0.97519,0.000282988,0.000282988,0.000282988
16,14417,0.6097,0.83214,0.98658,0.92776,0.82765,0.92379,0.78406,0.62428,0.57518,0.97739,0.00026563,0.00026563,0.00026563
17,15317.8,0.59722,0.79866,0.98207,0.9695,0.81677,0.93276,0.78719,0.61953,0.57105,0.97125,0.000248272,0.000248272,0.000248272
18,16218.7,0.59568,0.77037,0.97826,0.92508,0.88506,0.9434,0.79783,0.60711,0.52571,0.96514,0.000230914,0.000230914,0.000230914
19,17124.4,0.58831,0.75753,0.97337,0.95562,0.85021,0.9418,0.79822,0.60783,0.5207,0.95842,0.000213556,0.000213556,0.000213556
20,18033.4,0.5791,0.73746,0.97536,0.94787,0.86492,0.94668,0.80116,0.60757,0.49574,0.96636,0.000196198,0.000196198,0.000196198
21,18935.7,0.57894,0.53768,0.94863,0.95291,0.84381,0.94276,0.79739,0.61735,0.50982,0.96732,0.00017884,0.00017884,0.00017884
22,19826.8,0.57286,0.50387,0.94346,0.95703,0.87136,0.95423,0.80708,0.60856,0.4762,0.96252,0.000161482,0.000161482,0.000161482
23,20708.3,0.55857,0.48161,0.93686,0.94748,0.89477,0.95911,0.81392,0.59832,0.46192,0.94936,0.000144124,0.000144124,0.000144124
24,21596,0.55037,0.47135,0.93335,0.93294,0.89169,0.95783,0.81603,0.58935,0.44492,0.94928,0.000126766,0.000126766,0.000126766
25,22486.7,0.54217,0.44709,0.9253,0.94451,0.89223,0.9567,0.812,0.59026,0.44349,0.95013,0.000109408,0.000109408,0.000109408
26,23390.2,0.54433,0.44064,0.93027,0.96128,0.87135,0.95923,0.8167,0.58405,0.4319,0.94598,9.205e-05,9.205e-05,9.205e-05
27,24297.5,0.52956,0.4233,0.91469,0.93418,0.89933,0.96015,0.82174,0.58197,0.42065,0.94103,7.4692e-05,7.4692e-05,7.4692e-05
28,25188.6,0.52576,0.40757,0.91602,0.96599,0.88915,0.9628,0.82233,0.58238,0.40629,0.94193,5.7334e-05,5.7334e-05,5.7334e-05
29,26078.2,0.51805,0.39818,0.91364,0.95899,0.89011,0.95993,0.82445,0.57462,0.40625,0.93688,3.9976e-05,3.9976e-05,3.9976e-05
30,27295,0.51535,0.38668,0.91052,0.95773,0.89148,0.96028,0.82346,0.5766,0.39824,0.94235,2.2618e-05,2.2618e-05,2.2618e-05
